Joint Tag,Target Number,TimeStamp,Elapsed Time,Motion Detected,Motion Threshold,Position X,Position Y,Position Z,Rotation X,Rotation y,Rotation z,Speed,Velocity X,Velocity Y,Velocity Z,Velocity X (orig),Velocity Y (orig),Velocity Z (orig),Acceleration X,Acceleration Y,Acceleration Z,Acceleration Strength,Direction X,Direction Y,Direction Z,Angular Speed,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Angular Acceleration X,Angular Acceleration Y,Angular Acceleration Z,Angular Acceleration Strength,Angular Axis X,Angular Axis Y,Angular Axis Z
RightWrist,,00:00:00:417,0.42,False,0.08,-1.564923,0.7249346,-1.02932,59.8147,-82.58298,-57.72351,0.02034863,0.01760406,0.01009051,-0.00153149,0.005896399,0.01989095,0.01226537,-0.01773671,-0.01016654,0.00154303,-0.02050196,0.8651227,0.4958813,-0.07526257,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:433,0.43,False,0.08,-1.56488,0.7249835,-1.029322,59.81082,-82.59729,-57.73376,0.01851214,0.01601528,0.009179827,-0.001393272,0.003911471,0.004369764,-0.0002344751,-0.03741276,-0.02144469,0.003254776,-0.04324561,0.8651227,0.4958813,-0.07526257,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:450,0.45,False,0.08,-1.564678,0.7248743,-1.029301,59.77983,-82.60083,-57.73636,0.0154228,0.01334261,0.007647878,-0.001160759,-0.001120417,0.001568584,0.006966955,-0.03105718,-0.01780172,0.002701863,-0.03589916,0.8651227,0.4958813,-0.07526257,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:467,0.47,False,0.08,-1.564842,0.7248299,-1.029332,59.79136,-82.58237,-57.73123,0.01489557,0.0128865,0.007386436,-0.001121079,-0.01512276,-0.004088419,-0.002868488,-0.02933722,-0.01681586,0.002552233,-0.03391105,0.8651227,0.4958813,-0.07526257,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:483,0.48,False,0.08,-1.564591,0.7251458,-1.029203,59.81562,-82.58844,-57.73276,0.01580501,0.01367327,0.007837409,-0.001189526,0.01492946,0.02337652,0.01057129,-0.02200616,-0.01261375,0.001914457,-0.02543704,0.8651227,0.4958813,-0.07526257,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:500,0.50,False,0.08,-1.564542,0.7251792,-1.02921,59.81001,-82.59897,-57.75027,0.0143749,0.01243605,0.007128243,-0.001081892,0.004579017,0.00309692,-0.0007078674,-0.03102182,-0.01778146,0.002698787,-0.03585829,0.8651227,0.4958813,-0.07526257,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:517,0.52,False,0.08,-1.564689,0.7251689,-1.029321,59.79996,-82.60907,-57.76382,0.01363692,0.0116376,0.007051562,-0.0008984918,-0.01748652,-0.003370369,-0.009356056,-0.03357847,-0.02034617,0.002592456,-0.03934719,0.8533894,0.5170934,-0.0658867,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:533,0.53,False,0.08,-1.564641,0.7252104,-1.029336,59.79993,-82.58707,-57.7446,0.01256138,0.01071975,0.006495407,-0.0008276279,0.004175039,0.003605245,-0.001336427,-0.03467114,-0.02100825,0.002676816,-0.04062757,0.8533894,0.5170934,-0.0658867,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:550,0.55,False,0.08,-1.564733,0.7253034,-1.029245,59.79733,-82.58942,-57.74094,0.01204049,0.01027523,0.006226059,-0.0007933083,0.00206239,0.002601784,-0.0007191923,-0.02173916,-0.01317239,0.001678392,-0.02547391,0.8533894,0.5170934,-0.0658867,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:567,0.57,False,0.08,-1.564051,0.7252297,-1.029503,59.77757,-82.57034,-57.73187,0.01944453,0.01659376,0.01005464,-0.001281136,0.06032308,-0.006519703,-0.02280841,0.03191894,0.01934061,-0.002464331,0.03740256,0.8533894,0.5170934,-0.0658867,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:583,0.58,False,0.08,-1.563928,0.7252507,-1.029505,59.78648,-82.50397,-57.67191,0.01483704,0.01266177,0.007672133,-0.0009775633,0.005078634,0.0002750927,-0.0002327707,0.002833171,0.0017167,-0.0002187375,0.003319904,0.8533894,0.5170934,-0.0658867,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:600,0.60,False,0.08,-1.563616,0.7254868,-1.029464,59.78595,-82.50311,-57.66797,0.0169722,0.01448389,0.008776209,-0.001118242,0.02829734,0.0213687,0.003723334,0.02074604,0.01257063,-0.001601717,0.02431017,0.8533894,0.5170934,-0.0658867,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:617,0.62,False,0.08,-1.563747,0.725296,-1.029533,59.75162,-82.52499,-57.68726,0.0171305,0.01469253,0.008717038,-0.00126369,-0.01690058,-0.01985599,-0.005582445,0.03020999,0.01792351,-0.002598332,0.03522282,0.8576823,0.5088607,-0.07376843,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:633,0.63,False,0.08,-1.563696,0.7253067,-1.029533,59.75459,-82.50131,-57.67673,0.01592878,0.01366183,0.008105528,-0.001175041,0.00453063,0.0009482713,1.053635E-05,0.01167855,0.006928854,-0.001004461,0.01361641,0.8576823,0.5088607,-0.07376843,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:650,0.65,False,0.08,-1.564369,0.7252305,-1.02927,59.7729,-82.50385,-57.68298,0.02768663,-0.02383882,-0.01392499,0.002086865,0.02064849,0.003228712,0.005922941,-0.0611579,-0.0357242,0.005353801,0.07102937,-0.8610228,-0.5029498,0.07537448,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:667,0.67,False,0.08,-1.564328,0.7252836,-1.029276,59.76631,-82.49271,-57.67374,0.02572887,-0.02215314,-0.01294033,0.0019393,0.003640786,0.004720322,-0.0005821025,-0.04740363,-0.02768991,0.004149743,0.05505502,-0.8610228,-0.5029498,0.07537448,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:683,0.68,False,0.08,-1.563824,0.7252228,-1.02944,59.72649,-82.54114,-57.72711,0.02336095,-0.02011431,-0.01174938,0.001760819,0.007348728,0.002212285,-0.001818016,-0.04252582,-0.02484063,0.003722737,0.04938988,-0.8610228,-0.5029498,0.07537448,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
